"Inspectorblue","Inspectorbrown","Inspectorgreen","Inspectororange","Inspectorpurple","Inspectoryellow","pastSerious","pastCritical","timeSinceLast","ageAtInspection","consumption_on_premises_incidental_activity","tobacco_retail_over_counter","temperatureMax","heat_burglary","heat_sanitation","heat_garbage"
0,0,0,1,0,0,0,0,2,1,0,0,68.6066666666667,33.7090715818954,23.2149608267556,41.9505917273743
0,0,0,1,0,0,0,0,2,1,0,0,64.8633333333333,1.38674432346789,1.40927662843858,1.95581149669469
0,0,0,1,0,0,0,0,2,1,0,0,64.8633333333333,1.61295124444858,1.31512304210637,1.20050203044403
0,0,0,1,0,0,0,0,2,1,0,0,64.8633333333333,1.61295124444858,1.31512304210637,1.20050203044403
0,0,0,1,0,0,0,0,2,1,0,1,64.8633333333333,1.64152059894102,1.78820976751517,2.20033440869593
0,0,0,1,0,0,0,0,2,1,0,0,59.05,9.97088136158108,26.3852310242187,41.7809409932958
0,0,0,1,0,0,0,0,2,0,0,0,59.05,16.0647396977572,2.91760379775553,8.25676056791941
0,0,0,1,0,0,0,0,2,0,0,0,61.8433333333333,8.16513104058626,7.27615145958375,21.9895955678231
0,0,0,1,0,0,0,0,2,0,0,0,61.8433333333333,12.2726031170895,21.4596662069874,46.4716425739732
0,0,0,1,0,0,0,0,2,1,0,0,61.8433333333333,6.97422396396696,17.0851161754453,16.5099651010353
0,0,0,1,0,0,0,0,2,1,0,0,59.2533333333333,12.14287908267,24.0435713486566,42.06436516975
0,0,0,1,0,0,0,0,2,1,0,1,59.2533333333333,20.8448989147009,8.4293733589649,21.8407983016135
0,0,0,1,0,0,0,0,2,1,0,1,59.2533333333333,5.27190584200669,3.15747658104286,7.03748595864856
0,0,0,1,0,0,0,0,2,1,0,0,55.79,17.1498891997681,14.4753984308055,15.2636303590754
0,0,0,1,0,0,0,0,2,1,0,0,56.16,3.96726926036099,2.27826405354166,3.84121622411361
0,0,0,1,0,0,0,0,2,1,0,0,60.0866666666667,14.4129125996733,21.4896570414359,29.8013984534481
0,0,0,1,0,0,0,0,2,0,0,0,60.0866666666667,6.71498496611432,18.4798559039192,18.767298642266
0,0,0,1,0,0,0,0,2,0,0,0,61.02,18.6089510632898,13.7283391098484,11.4633204615821
0,0,0,1,0,0,0,0,2,1,0,0,61.8266666666667,9.46332084062605,10.4238367234614,7.14271167167381
0,0,0,1,0,0,0,0,2,1,0,0,61.8266666666667,9.46332084062605,10.4238367234614,7.14271167167381
0,0,0,1,0,0,0,0,2,0,0,0,54.32,9.48631167051015,10.5677356561902,7.15268519710715
0,0,0,1,0,0,0,0,2,0,0,0,54.32,11.1928388127497,18.7069938633616,8.4341722231571
0,0,0,1,0,0,0,0,2,1,0,1,54.32,10.7286149816582,16.9269634506125,9.84737548328433
0,0,0,1,0,0,0,0,2,1,0,0,50.6,1.41761392244068,5.82374807027493,4.29579699983129
0,0,0,1,0,0,0,0,2,1,0,0,50.6,2.25586555572939,5.09707833223499,9.93758956797742
0,0,0,1,0,0,0,0,2,1,0,0,50.6,9.87242169115565,14.1920987537496,12.427454597537
0,0,0,1,0,0,0,0,0.010958904109589,0,0,0,55.2033333333333,11.5570519775565,19.1024788843148,7.93860249953518
0,0,0,1,0,0,0,0,2,0,0,1,52.7766666666667,10.7169500855348,25.3989504578847,42.1737368116164
0,0,0,1,0,0,0,0,2,1,0,0,54.0566666666667,9.66999394606247,23.4762282394936,39.4056004350653
0,0,0,1,0,0,0,0,2,1,0,1,43.53,9.70297704563895,18.6057795531855,27.6185166618938
0,0,0,1,0,0,0,0,2,1,0,0,42.0866666666667,1.2693537290266,2.97352350436348,1.14183358240698
0,0,0,1,0,0,0,0,2,1,1,0,42.0866666666667,1.2693537290266,2.97352350436348,1.14183358240698
0,0,0,1,0,0,0,0,2,1,0,0,42.0866666666667,1.2693537290266,2.97352350436348,1.14183358240698
0,0,0,1,0,0,0,0,2,1,1,0,42.0866666666667,1.2693537290266,2.97352350436348,1.14183358240698
0,0,0,1,0,0,0,0,2,1,0,1,47.6366666666667,42.0388083319962,31.0028103322372,50
